Gene	HGNC_ID
ABCG8	HGNC:13887
ACCSL	HGNC:34391
ACTL7A	HGNC:161
ACTL7B	HGNC:162
ACTL9	HGNC:28494
ACTRT1	HGNC:24027
ADAD1	HGNC:30713
ADAM18	HGNC:196
ADAM2	HGNC:198
ADAM20	HGNC:199
ADAM30	HGNC:208
ADH7	HGNC:256
AFM	HGNC:316
AICDA	HGNC:13203
AIPL1	HGNC:359
ALPI	HGNC:437
ALPPL2	HGNC:441
ALX3	HGNC:449
AMELX	HGNC:461
ANKRD30A	HGNC:17234
ANKRD60	HGNC:16217
ANTXRL	HGNC:27277
APOA4	HGNC:602
APOBEC1	HGNC:604
APOF	HGNC:615
AQP12A	HGNC:19941
AQP8	HGNC:642
ARGFX	HGNC:30146
ART1	HGNC:723
ASB17	HGNC:19769
ASIC5	HGNC:17537
ASZ1	HGNC:1350
ATOH1	HGNC:797
ATP4B	HGNC:820
ATP6V1G3	HGNC:18265
AWAT1	HGNC:23252
AWAT2	HGNC:23251
B3GNT6	HGNC:24141
BANF2	HGNC:16172
BARHL1	HGNC:953
BEND2	HGNC:28509
BHLHE23	HGNC:16093
BIRC8	HGNC:14878
BMP10	HGNC:20869
BMP15	HGNC:1068
BPIFA1	HGNC:15749
BPIFA3	HGNC:16204
BPIFB3	HGNC:16178
BPIFB6	HGNC:16504
BPIFC	HGNC:16503
BPY2	HGNC:13508
BRDT	HGNC:1105
BSND	HGNC:16512
C10orf113	HGNC:31447
C10orf120	HGNC:25707
C10orf53	HGNC:27421
C11orf40	HGNC:23986
C12orf40	HGNC:26846
C14orf183	HGNC:27285
C15orf55	HGNC:29919
C16orf78	HGNC:28479
C17orf102	HGNC:34412
C17orf78	HGNC:26831
C18orf26	HGNC:26808
C19orf45	HGNC:24745
C1orf146	HGNC:24032
C20orf173	HGNC:16166
C20orf203	HGNC:26592
C20orf79	HGNC:16211
C2orf57	HGNC:28563
C2orf61	HGNC:26850
C2orf71	HGNC:34383
